,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,warranty,msoffice,Price,rating,Number of Ratings,Number of Reviews
241,310,1,20,130,230,400,512,0,500,64,1,0,73490,4,213,45
242,350,1,20,130,230,400,512,0,500,64,1,1,74490,4,10,0
243,350,1,20,130,220,400,512,0,500,64,1,1,58340,4,69,6
244,330,1,20,130,220,400,512,0,500,64,1,0,55999,4,6,0
245,360,1,20,130,230,400,512,0,500,64,0,0,67990,4,93,9
246,310,1,20,130,230,400,512,0,500,64,1,0,59990,4,11,2
247,310,1,20,130,230,400,512,0,500,64,1,1,82990,4,262,31
248,360,1,20,130,220,400,512,0,500,64,1,1,64190,3,0,0
249,360,1,20,130,230,400,512,0,500,64,0,0,70090,4,5,1
250,310,1,20,110,220,400,512,0,500,64,1,0,49990,4,45,3
251,370,1,20,130,220,400,512,0,500,64,0,0,55490,3,8,1
252,350,1,20,130,220,420,512,0,500,64,0,0,97990,5,3,1
253,310,1,20,160,220,400,512,0,500,64,1,1,54990,4,1681,227
254,320,1,20,130,220,400,512,0,500,64,1,1,59990,4,37,2
255,320,1,20,130,220,400,512,0,500,64,1,1,53990,4,61,2
256,350,1,20,130,230,400,512,0,500,64,1,1,66999,4,17,1
257,330,1,20,130,220,420,512,0,500,64,1,1,60990,4,17,1
258,310,1,20,110,220,400,512,0,500,64,1,1,47990,4,1625,152
259,350,1,20,130,220,400,512,0,500,32,1,1,59999,4,4,1
260,360,1,20,110,230,400,512,0,500,64,1,0,79990,3,0,0
261,310,1,20,110,220,400,512,0,500,64,1,0,63990,3,0,0
262,350,1,20,130,220,400,512,0,500,64,1,1,63990,4,17,1
263,310,1,20,130,230,400,512,0,500,64,1,0,59990,3,0,0
264,320,1,20,130,220,400,512,0,500,64,1,0,55990,3,0,0
266,350,1,20,130,220,400,512,0,500,64,1,1,63990,4,3,0
267,360,1,20,130,230,400,512,0,500,64,1,1,69490,3,0,0
268,360,1,20,130,230,400,512,0,500,64,1,1,89390,3,0,0
269,310,1,20,130,220,420,512,0,500,64,0,0,74990,3,0,0
270,320,1,20,130,220,400,512,0,500,64,3,1,64990,4,48,12
271,320,1,20,110,220,400,512,0,500,64,1,1,66490,4,282,36
272,360,1,20,130,230,400,512,0,500,64,1,1,89702,3,0,0
273,320,1,20,130,230,400,512,0,500,64,1,1,70990,4,67,4
274,310,1,20,130,230,400,512,0,500,64,1,1,58990,3,0,0
275,320,1,20,110,220,400,512,0,500,64,1,1,57500,3,0,0
276,360,1,20,130,220,400,512,0,500,64,1,1,79990,4,23,2
277,370,1,20,110,220,400,512,0,500,64,0,0,56541,4,677,87
278,310,1,20,130,230,400,512,0,500,64,0,0,59990,3,3,0
279,320,1,20,130,230,400,512,0,500,64,1,1,64990,4,46,4
